"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"J7,J6,J3,J2";"Camdenboss_Screw_terminal_8x9.5mm";4;"Screw_Terminal_1x08";;;
2;"J4";"Camdenboss_Screw_terminal_3x9.5mm";1;"Screw_Terminal_1x03";;;
3;"C1";"C_0603_HandSoldering";1;"10 uF";;;
4;"C2";"C_0603_HandSoldering";1;"10uF";;;
5;"U1,U2,U3,U4";"DIP-8_W7.62mm_Socket";4;"INA128";;;
6;"J5";"Camdenboss_Screw_terminal_12x9.5mm";1;"Screw_Terminal_1x12";;;
7;"J1";"Camdenboss_Screw_terminal_4x9.5mm";1;"Screw_Terminal_1x04";;;
8;"C3,C4,C5,C6,C7,C8,C9,C10";"C_Disc_D5.0mm_W2.5mm_P5.00mm";8;"0.1 uF";;;
9;"R1,R2,R3,R4";"Potentiometer_Bourns_3296W_3-8Zoll_Inline_ScrewUp";4;"RTRIM";;;
10;"RV1,RV2,RV3,RV4";"Potentiometer_Bourns_3296W_3-8Zoll_Inline_ScrewUp";4;"POT";;;
11;"JP1,JP2,JP3,JP4";"JST_EH_B02B-EH-A_02x2.50mm_Straight";4;"Jumper_NO_Small";;;
12;"JP5,JP6,JP7,JP8";"JST_EH_B03B-EH-A_03x2.50mm_Straight";4;"Jumper_NC_Dual";;;
